نام حرکت (Exercise Name),نام انگلیسی (English Name),جنسیت غالب رایج (Popular Sex Focus),عضله هدف (Target Muscle),تجهیزات (Equipment),سطح دشواری (Difficulty),نوع مکانیک (Mechanics),کالری‌سوزی نسبی (Relative Calorie Burn),گروه تمرینی (Workout Category)
پرس سینه هالتر,Barbell Bench Press,مشترک,سینه,هالتر,متوسط,ترکیبی,متوسط,قدرتی (Strength)
پرس سینه دمبل,Dumbbell Bench Press,مشترک,سینه,دمبل,متوسط,ترکیبی,متوسط,قدرتی (Strength)
پرس سینه دستگاه,Machine Chest Press,مشترک,سینه,دستگاه,مبتدی,ترکیبی,متوسط,قدرتی (Strength)
پرس سینه اسمیت,Smith Machine Bench Press,مشترک,سینه,اسمیت,مبتدی,ترکیبی,متوسط,قدرتی (Strength)
بالاسینه هالتر,Incline Barbell Press,مشترک,سینه,هالتر,متوسط,ترکیبی,متوسط,قدرتی (Strength)
بالاسینه دمبل,Incline Dumbbell Press,مشترک,سینه,دمبل,متوسط,ترکیبی,متوسط,قدرتی (Strength)
بالاسینه دستگاه,Incline Machine Press,مشترک,سینه,دستگاه,مبتدی,ترکیبی,متوسط,قدرتی (Strength)
بالاسینه اسمیت,Incline Smith Machine Press,مشترک,سینه,اسمیت,مبتدی,ترکیبی,متوسط,قدرتی (Strength)
زیرسینه هالتر,Decline Barbell Press,مردانه,سینه,هالتر,پیشرفته,ترکیبی,متوسط,قدرتی (Strength)
زیرسینه دمبل,Decline Dumbbell Press,مردانه,سینه,دمبل,پیشرفته,ترکیبی,متوسط,قدرتی (Strength)
زیرسینه دستگاه,Decline Machine Press,مردانه,سینه,دستگاه,متوسط,ترکیبی,متوسط,قدرتی (Strength)
زیرسینه اسمیت,Decline Smith Machine Press,مشترک,سینه,اسمیت,متوسط,ترکیبی,متوسط,قدرتی (Strength)
قفسه سینه دمبل,Dumbbell Fly,مشترک,سینه,دمبل,مبتدی,ایزوله,کم,قدرتی (Strength)
قفسه بالاسینه دمبل,Incline Dumbbell Fly,مشترک,سینه,دمبل,مبتدی,ایزوله,کم,قدرتی (Strength)
قفسه سینه دستگاه (پک دک),Pec Deck Machine,مشترک,سینه,دستگاه,مبتدی,ایزوله,کم,قدرتی (Strength)
قفسه سینه سیم‌کش کراس اوور,Cable Crossover,مشترک,سینه,سیم‌کش,متوسط,ایزوله,متوسط,قدرتی (Strength)
شنا سوئدی عادی,Push Up,مشترک,سینه,وزن بدن,مبتدی,ترکیبی,زیاد,قدرتی (Strength)
شنا شیب‌دار (دست بالا),Incline Push Up,زنانه,سینه,وزن بدن,مبتدی,ترکیبی,متوسط,قدرتی (Strength)
شنا شیب‌دار (پا بالا),Decline Push Up,مردانه,سینه,وزن بدن,متوسط,ترکیبی,زیاد,قدرتی (Strength)
شنا دست‌جمع,Close Grip Push Up,مردانه,سینه/پشت بازو,وزن بدن,متوسط,ترکیبی,متوسط,قدرتی (Strength)
