نام غذا/ماده (Persian Name),نام انگلیسی (English Name),دسته بندی (Category),واحد اندازه گیری (Serving),کالری در ۱۰۰ گرم (Calories/100g),پروتئین - گرم (Protein g),کربوهیدرات - گرم (Carbs g),چربی - گرم (Fat g)
قورمه سبزی,Ghormeh Sabzi,خورشت,100g,140,6,8,10
قیمه سیب زمینی,Gheymeh,خورشت,100g,155,7,10,9
قیمه بادمجان,Gheymeh Bademjan,خورشت,100g,130,5,8,10
فسنجان با مرغ,Fesenjan (Chicken),خورشت,100g,270,8,12,22
فسنجان با گوشت,Fesenjan (Meat),خورشت,100g,300,9,10,25
کرفس,Karafs Stew,خورشت,100g,110,6,6,7
بامیه,Bamieh Stew,خورشت,100g,90,5,7,5
آلو اسفناج,Aloo Esfenaj,خورشت,100g,125,6,9,8
زرشک پلو با مرغ,Zereshk Polo Ba Morgh,غذای اصلی,100g,210,10,25,8
باقالی پلو با گوشت,Baghali Polo Ba Goosht,غذای اصلی,100g,240,12,22,11
سبزی پلو با ماهی,Sabzi Polo Ba Mahi,غذای اصلی,100g,220,15,20,9
لوبیا پلو,Loobia Polo,غذای اصلی,100g,180,8,22,6
عدس پلو,Adas Polo,غذای اصلی,100g,190,7,28,5
آلبالو پلو,Albaloo Polo,غذای اصلی,100g,200,5,30,6
ته‌چین مرغ,Tachin Morgh,غذای اصلی,100g,250,9,25,12
کلم پلو شیرازی,Kalam Polo Shirazi,غذای اصلی,100g,175,8,20,7
ماکارونی ایرانی,Persian Macaroni,غذای اصلی,100g,220,8,30,8
آبگوشت (دیزی),Abgoosht (Dizi),غذای سنتی,100g,160,9,12,8
کشک بادمجان,Kashk Bademjan,پیش غذا,100g,140,5,9,10
میرزا قاسمی,Mirza Ghasemi,پیش غذا,100g,120,3,8,9
کوکو سبزی,Kookoo Sabzi,غذای سنتی,100g,180,6,10,14
کوکو سیب زمینی,Kookoo Sibzamini,غذای سنتی,100g,190,4,20,11
کتلت گوشت,Kotlet,غذای سنتی,100g,210,10,12,13
شامی کباب,Shami Kabab,غذای سنتی,100g,205,11,10,12
دلمه برگ مو,Dolmeh Barg Mo,پیش غذا,100g,140,4,15,7
کوفته تبریزی,Koofteh Tabrizi,غذای سنتی,100g,170,9,14,8
تاس کباب,Tas Kabab,غذای سنتی,100g,110,6,10,5
کباب کوبیده,Kabab Koobideh,کباب,100g,260,14,2,20
جوجه کباب (سینه),Joojeh Kabab (Breast),کباب,100g,160,22,1,7
جوجه کباب (ران),Joojeh Kabab (Thigh),کباب,100g,210,18,1,14
کباب برگ,Kabab Barg,کباب,100g,200,20,0,12
کباب چنجه,Kabab Chenjeh,کباب,100g,220,19,0,15
شیشلیک,Shishlik,کباب,100g,280,16,0,23
کباب بختیاری,Kabab Bakhtiari,کباب,100g,230,18,1,16
کباب تابه‌ای,Pan Kabab,کباب,100g,210,13,3,15
کباب بناب,Bonab Kabab,کباب,100g,270,15,2,22
جگر (کباب),Grilled Liver,کباب,100g,150,20,4,5
دل و قلوه,Grilled Heart & Kidney,کباب,100g,160,18,1,8
آش رشته,Ash Reshteh,آش,100g,120,5,18,3
آش دوغ,Ash Doogh,آش,100g,80,4,10,2
آش شله قلمکار,Ash Sholeh Ghalamkar,آش,100g,150,8,15,6
آش جو,Ash Jow,آش,100g,110,4,16,3
سوپ جو,Barley Soup,سوپ,100g,70,3,10,2
سوپ مرغ,Chicken Soup,سوپ,100g,80,6,5,3
سوپ شیر,Milk Soup,سوپ,100g,95,4,8,5
حلیم,Haleem,غذای سنتی,100g,180,9,20,6
عدسی,Adasi,سوپ/خوراک,100g,115,9,20,1
خوراک لوبیا چیتی,Pinto Bean Stew,سوپ/خوراک,100g,130,8,22,1
سیرابی,Sirabi,غذای سنتی,100g,90,11,0,4
کله پاچه,Kaleh Pacheh,غذای سنتی,100g,300,15,0,25
نان سنگک,Sangak Bread,نان,100g,260,8,50,1
نان بربری,Barbari Bread,نان,100g,280,9,55,2
نان لواش,Lavash Bread,نان,100g,300,9,60,2
نان تافتون,Taftoon Bread,نان,100g,290,9,58,2
نان باگت,Baguette,نان,100g,270,10,52,2
نان تست سبوس‌دار,Whole Wheat Toast,نان,100g,250,12,45,3
برنج سفید پخته,Cooked White Rice,غلات,100g,130,3,28,0
برنج قهوه‌ای پخته,Cooked Brown Rice,غلات,100g,110,3,23,1
جو دوسر پرک,Oats,غلات,100g,380,13,68,6
کینوا پخته,Cooked Quinoa,غلات,100g,120,4,21,2
پاستا پخته,Cooked Pasta,غلات,100g,130,5,25,1
سینه مرغ خام,Raw Chicken Breast,پروتئین گوشتی,100g,120,22,0,3
سینه مرغ پخته,Cooked Chicken Breast,پروتئین گوشتی,100g,165,31,0,4
ران مرغ پخته,Cooked Chicken Thigh,پروتئین گوشتی,100g,210,24,0,12
گوشت گوساله چرخ‌کرده,Minced Beef (Lean),پروتئین گوشتی,100g,250,26,0,15
گوشت گوسفندی,Lamb Meat,پروتئین گوشتی,100g,290,25,0,21
بوقلمون (سینه),Turkey Breast,پروتئین گوشتی,100g,135,30,0,1
